message,spamminess,term,word_total,spam_count,spam_auto,bigram_proportion,spam_bigrams
 akin juga ga bisa ini dia lagi bareng aku ,1,juga ga bisa ini lagi,9,0,0,0.0,
 saya msh blm bisa lari uy absen,1,bisa absen,7,0,0,0.0,
 otw ke trimulia,0,ke,3,0,0,0.0,
 jalan aj ben,1,,3,0,0,0.0,
 maen maen ,0,,2,0,0,0.0,
 saya ga bisa ko blom nyame bdg,1,ga bisa ko,7,0,0,0.0,
 masih terbang ,0,,2,0,0,0.0,
 masi di bandara ko jam an baru nyampe bdg,0,di ko jam baru,9,0,0,0.0,
 titidj bro safe flight gbu ,1,bro gbu,5,1,0,20.0,ti
 gaa ada basket ,0,ada basket,3,0,0,0.0,
 adalah,1,,1,0,0,0.0,
 saya matthew teddy datang,0,,4,0,0,0.0,
 ko andy datang teu ko ,0,ko ko,5,0,0,0.0,
 an kita basket na ,0,kita basket,4,0,0,0.0,
 ko wansen benny ko gun ko dicky ,0,ko ko ko,7,0,0,0.0,
 absen,1,absen,1,0,0,0.0,
 saya absen dulu minggu dpn bisa ,1,absen bisa,6,0,0,0.0,
 hujan badag fel ,0,,3,0,0,0.0,
 sy absen dulu,1,sy absen,3,0,0,0.0,
 pada moal baasket lix,0,pada,4,0,0,0.0,
 wadeuhh,1,,1,0,0,0.0,
 curiga tiluan ieu mah,0,,4,0,0,0.0,
 yo wes lah moal datang mun kitu mah,1,,8,0,0,0.0,
 iya uy sori ,1,sori,3,0,0,0.0,
 ya udh minggu depan yo,0,ya udh,5,0,0,0.0,
 minggu depan mah gua marn,1,,5,0,0,0.0,
 sorry saya lagi ada bos absen dulu yah,0,lagi ada absen,8,0,0,0.0,
 selamat bergabung prens ,0,selamat,3,0,0,0.0,
 hi ,0,,1,0,0,0.0,
 welcome bro alfons akin luki ,0,bro,5,0,0,0.0,
 hi ,0,,1,0,0,0.0,
 hi ,0,,1,0,0,0.0,
 ih ,0,,1,0,0,0.0,
 hiiii ,0,,1,1,1,100.0,ii
 fred maneh didiyeu ,1,,3,1,0,33.33333333333333,di
 basketnya mulai lagi seperti biasa minggu depan ya,0,lagi ya,8,0,0,0.0,
 minggu ini pada ga bisa,0,ini pada ga bisa,5,0,0,0.0,
 di bdg ujan gede pau ini masih ampe skrg ,0,di ini,9,0,0,0.0,
 http finance detik com moneter d waspada pencurian uang di rekening tabungansempat viral nasabah bri yang kehilangan uang secara misterius di rekeningnya sebesar rp juta apa yang sebenarnya terjadi ,0,di yang di apa yang,29,1,0,3.4482758620689653,an
 hari ini baskettttt ,0,ini,3,1,0,33.33333333333333,tt
 hayo sebelum xinjiah biar fit waktu bagi angpao olahraga dolo wakakkaa,1,,11,1,0,9.090909090909092,"ak, ka"
 hayu saya siap yg lain gimana nih ,1,siap yg,7,0,0,0.0,
 wah felix semangat euy ,0,,4,0,0,0.0,
 nyareri awak soalna yeuh kudu ngesang wkwkwk,0,,7,2,0,28.57142857142857,"wk, kw, ng"
 hayu bararasket teman jam start di lapang ya ,0,teman jam di ya,8,1,0,12.5,"ra, ar"
 ko andy kumaha beny matthew teddy yang laen ,0,ko yang,8,0,0,0.0,
 hayu ,1,,1,0,0,0.0,
 ko gun ko wansen akin luki,0,ko ko,6,0,0,0.0,
 sy absen dulu ko ,1,sy absen ko,4,0,0,0.0,
 absen,1,absen,1,0,0,0.0,
 lesgo,1,,1,0,0,0.0,
 cao,1,,1,0,0,0.0,
 rame nih hari ini bisa gantian biar ga cape teuing,0,ini bisa ga,10,1,0,10.0,an
 lesgo ,1,,1,0,0,0.0,
 saya coba liat sikon hehe,1,,5,1,0,20.0,he
 saya absen ,1,absen,2,0,0,0.0,
 http finance detik com read tabungan terkuras gara gara kena skimming cegah pakai cara ininasabah bank yang aktif menggunakan layanan digital harus memiliki tingkat kewaspadaan yang tinggi ini tipsnya ,0,yang yang ini,29,2,0,6.896551724137931,"an, in"
 with grateful and thankful heart this chinese new year we wishing you all a blessed new year may god be the centre in your life for the up coming years be fruitful and blessing to others https youtu be v vuhboti happychinesenewyear gongxifatchai churchhymnsong solideogloria,0,and all god be the the be and https youtu be,45,2,0,4.444444444444445,"ch, ne"
 nie angpao naati we nyokot na ,0,,6,0,0,0.0,
 gong xi gong xi xin nien kuai le xin nien meng en ,0,,12,0,0,0.0,
 malem ada basket ,0,ada basket,3,0,0,0.0,
 yuhu sepi amir,0,,3,0,0,0.0,
 basket basket,1,basket basket,2,0,0,0.0,
 saya skip dlu,1,,3,0,0,0.0,
 hayu ah,1,,2,0,0,0.0,
 saipp,1,,1,0,0,0.0,
 tentu ada dong,1,ada,3,0,0,0.0,
 hayu basket jam malem ya,0,basket jam ya,5,0,0,0.0,
 saya bawa temen ya,0,temen ya,4,0,0,0.0,
 ok saip,1,ok,2,0,0,0.0,
 ko dicky bawain pentil ya ,0,ko ya,5,0,0,0.0,
 pentilnya satu dua ,1,,3,0,0,0.0,
 bukanya lu udh beli ,1,udh beli,4,0,0,0.0,
 adeuh cit cuwiwwww ,1,,3,1,0,33.33333333333333,ww
 udh rusak lagi hehehe ,1,udh lagi,4,1,0,25.0,"he, eh"
 ya amplop,1,ya,2,0,0,0.0,
 pau brandon ikut ga ted anak lu milu ,0,ga anak,8,0,0,0.0,
 ok siap,1,ok siap,2,0,0,0.0,
 anak oeh ga ikut lix,1,anak oeh ga,5,0,0,0.0,
 brandon ga ikut lagi ga enak badan ,0,ga lagi ga,7,0,0,0.0,
 salam siaga https www instagram com p bfnzuwhnirt ,0,https,8,1,0,12.5,ww
 ada basket ,0,ada basket,2,0,0,0.0,
 harayu barasket braderr,0,,3,0,0,0.0,
 kuy,1,,1,0,0,0.0,
 hayu,1,,1,0,0,0.0,
 all sori sy ga bs maen basket krn sy lembur ,1,all sori sy ga basket sy,10,0,0,0.0,
 hayu atuh dadiiiii,1,,3,1,0,33.33333333333333,ii
 sy ok,1,sy ok,2,0,0,0.0,
 ringnya rusak katanya,0,,3,0,0,0.0,
 jadi ga bisa maen empat nya rusak gt ,1,ga bisa nya,8,0,0,0.0,
 wah dipake latihan slam dunk contest meureun nyak ,1,,8,1,0,12.5,eu
 jd ringna ancur kabeh ,1,,4,0,0,0.0,
 satu klo g slh mah,1,,5,0,0,0.0,
 hararayuuuu,1,,1,1,1,100.0,"uu, ra, ar"
 ring rusak jd ga bisa maen atau gimana,1,ga bisa,8,0,0,0.0,
 iya ini tolong diperjelas di klarifikasi,1,ini di,6,0,0,0.0,
 kerusakan ring nya parah ampe gak bisa dipake ,1,nya bisa,8,0,0,0.0,
 ga tau g kaga ngecek itu kata arnold,1,ga itu,8,0,0,0.0,
 ok coba gw tanya arnold ,0,ok gw,5,0,0,0.0,
 sipp tq bro,1,bro,3,0,0,0.0,
 barusan tanya yg sebelah lapangan bisa pake main,0,yg bisa,8,1,0,12.5,an
 yg rusak cuman ring,0,yg,4,0,0,0.0,
 sipppp hayu basket ko alfon,0,basket ko,5,1,0,20.0,pp
 hayuk ,1,,1,0,0,0.0,
 asik rame nih ,1,,3,0,0,0.0,
 ajakin si liana,1,,3,0,0,0.0,
 bad news sptnya kondisi ring nya parah juga ,0,nya juga,8,0,0,0.0,
 wkwkwk ga jadi deh,1,ga,4,1,0,25.0,"wk, kw"
 itu cmn sblh ko,1,itu ko,4,0,0,0.0,
 kmrn denger lg beli yg luar negri ring nya apa blon dtg ya ,0,beli yg luar nya apa ya,13,0,0,0.0,
 itu maen nya ky gimana ya bisa gt bengkok,0,itu nya ya bisa,9,0,0,0.0,
 yg lapang sblh ring nya tajem bisa bikin bola sobek dah makan korban bola ktnya ,0,yg nya bisa bola bola,15,0,0,0.0,
 dipake lat slam dunk contest ,0,,5,0,0,0.0,
 jadi ini batal basket nih ,0,ini basket,5,0,0,0.0,
 trserah gmn yg laen,1,yg,4,0,0,0.0,
 gimana temen maen lapang siapa ikut ,0,temen,6,0,0,0.0,
 kalo lapangnya memungkinkan mah hayu tp kalo ring ga bener mah jangan atuh kamu mo sumbang bola yah kalo robek wkwkwkw,0,kalo kalo ga bola kalo,21,2,0,9.523809523809524,"wk, an, kw"
 bola kmu ntar sobek dong,1,bola,5,0,0,0.0,
 yg rusak kn cuman yg tajem brarti masi ada yg available dong,1,yg yg ada yg,12,0,0,0.0,
 maen on ,0,,2,0,0,0.0,
 saya ikut lah,1,,3,0,0,0.0,
 iya,1,,1,0,0,0.0,
 saya juga ikut lah,1,juga,4,0,0,0.0,
 ya udah pake bola kamu ajah,1,ya bola,6,0,0,0.0,
 iya pake aja ki kagog beli lg wakakaka,1,aja beli,8,1,0,12.5,"ak, ka"
 ga tajem kok kmrn daah aku coba,0,ga,7,0,0,0.0,
 hayu basket lah mawa budak teu ,0,basket,6,0,0,0.0,
 ok basket yah ,1,ok basket,3,0,0,0.0,
 ok basket aja,1,ok basket aja,3,0,0,0.0,
 gua ga bawa anak lagi uts euy,0,ga anak lagi,7,0,0,0.0,
 basket di lapang sebelah aja,0,basket di aja,5,0,0,0.0,
 teu mawa lix,1,,3,0,0,0.0,
 saya batal ,1,,2,0,0,0.0,
 hahaha ywdah,1,,2,1,1,50.0,"ha, ah"
 lucky ,0,,1,0,0,0.0,
 kalo lucki jd aku jadi,1,kalo,5,0,0,0.0,
 kalo akin ke rumah basket,0,kalo ke basket,5,0,0,0.0,
 jawaban yg bagusssss,1,yg,3,1,0,33.33333333333333,ss
 jd brp org yg hadir,0,org yg hadir,5,0,0,0.0,
 absen felix ,1,absen,2,0,0,0.0,
 absen felix teddy aki,1,absen,4,0,0,0.0,
 udah cukup org kok ,1,org,4,0,0,0.0,
 btw ko ama ko kemana ya udh lama ga maen ,0,ko ama ko ya udh ga,10,0,0,0.0,
 ko dicky ko andy vin pau akin luki,1,ko ko,8,0,0,0.0,
 matthew,0,,1,0,0,0.0,
 https inet detik com telecommunication d besok batas akhir registrasi sim card prabayarprogram registrasi sim card prabayar yang dimulai sejak oktober berakhir besok saat ini tercatat sudah ada nomor yang teregistrasi ,0,https yang ini ada yang,31,2,0,6.451612903225806,"at, pr, ra"
 ok nti saya dtg maen ,1,ok,5,0,0,0.0,
 geblek,1,,1,0,0,0.0,
 sippp,1,,1,1,1,100.0,pp
 hihihi walau ring cuman yg maen mah banyak,0,yg banyak,8,1,0,12.5,"hi, ih"
 udah aja maen di lapang sebelah bro,0,aja di bro,7,0,0,0.0,
 iya yah pake bola bocor yg punya gua aja kalo pecah juga da memang udh bocor wkwkwk ,0,bola yg aja kalo juga udh,17,1,0,5.88235294117647,"wk, kw"
 wakakak,1,,1,1,1,100.0,"ak, ka"
 beurat ulin na,1,,3,0,0,0.0,
 wkwkwk ,1,,1,1,1,100.0,"wk, kw"
 sy jd mawa budak lix,0,sy,5,0,0,0.0,
 saya masuk,1,,2,0,0,0.0,
 matthew masuk ke mana ,1,ke,4,0,0,0.0,
 masuk ke lapang,1,ke,3,0,0,0.0,
 saya telat nya aya trouble yeuh di kantor ,0,nya di,8,0,0,0.0,
 ring na ge euweuh lix,1,,5,1,0,20.0,eu
 internet telkomsel gangguan se jawa pengguna diminta restart ponsel http kom ps afysqp,0,,13,2,0,15.384615384615385,"an, el"
 https inet detik com telecommunication d kominfo sim card hari ini belum daftar besok diblokirada perubahan tahapan pemblokiran layanan telekomunikasi jika pelanggan tidak melakukan registrasi prabayar sim card yang batas akhirnya pada hari ini ,0,https ini tidak yang pada ini,34,2,0,5.88235294117647,an
 kalo belom registrasi pertama anda tidak bisa menelepon istri anda,0,kalo anda tidak bisa anda,10,0,0,0.0,
 selanjutnya kekasih gelap anda,1,anda,4,0,0,0.0,
 mantap cuyy,1,,2,0,0,0.0,
 merokok dan dengarkan musik saat berkendara hukumannya bulan penjara http kom ps afytch,0,dan,13,1,0,7.6923076923076925,ok
 korlantas mendengarkan musik saat berkendara tidak masalah http kom ps afytn ,0,tidak,11,1,0,9.090909090909092,en
 morning all ada yg punya info kondisi ring basket di lapangan ga ,0,all ada yg basket di ga,12,1,0,8.333333333333332,an
 hooh dinantikan kabar nya,1,hooh nya,4,1,0,25.0,an
 udah normal katanya nyah,1,,4,0,0,0.0,
 anak sttb jg mau maen mlm ini harap kita semua siap yah ,0,anak mau ini kita semua siap,12,0,0,0.0,
 aku absen maapkan ,1,absen,3,0,0,0.0,
 siap saya hadir ,1,siap hadir,3,0,0,0.0,
 saya ikut sttb aja hahahaha ,1,aja,5,1,0,20.0,"ha, ah"
 kamana atuh gan ,1,,3,0,0,0.0,
 hayu lix kalo keburu gua bawa si brandon,1,kalo,8,0,0,0.0,
 wah saya ga yakin keburu bawa anak euy ada meeting jam ,1,ga anak ada jam,11,0,0,0.0,
 asal jangan nanti giliran kita yg motongin ,0,nanti kita yg,7,1,0,14.285714285714285,an
 kita mah tenaga tua maennya ga akan ampe potong lah ringnya,0,kita ga akan,11,0,0,0.0,
 wkwkwk,1,,1,1,1,100.0,"wk, kw"
 nuju teu damang gan hampura,0,,5,0,0,0.0,
 luki ko wansen ko gunawan beni reiner daddy ,0,ko ko,8,0,0,0.0,
 hadiirrrr ,1,,1,1,1,100.0,rr
 sy absen lg anak lg uts,1,sy absen anak,6,0,0,0.0,
 iya ya ko smp mah lagi ujian ya,1,ya ko lagi ya,8,0,0,0.0,
 ya lg uts dr hari senin,1,ya,6,0,0,0.0,
 https news detik com berita d kemenhub larang powerbank berdaya besar masuk pesawat ini aturannyakemenhub menerbitkan surat edaran keselamatan terkait ketentuan membawa powerbank dan baterai lithium cadangan pada pesawat apa isinya ,0,https ini dan pada apa,31,1,0,3.225806451612903,an
 morning all mengingat kan pada semuanya nanti malam ada basket ya jam malam ditunggu kehadirannya ,0,all pada nanti malam ada basket ya jam malam,15,1,0,6.666666666666667,ng
 saya kayanya ga keburu euy next week aja deh ya sorry guys ,0,ga aja ya,12,1,0,8.333333333333332,ya
 yaaa nyusul aja bro biasa juga begitu kan masi pake kemeja hehehe ,0,aja bro juga,12,2,0,16.666666666666664,"aa, he, eh"
 hehehe,0,,1,1,1,100.0,"he, eh"
 bener,1,,1,0,0,0.0,
 jam ,0,jam,1,0,0,0.0,
 teman barasket ya jam ,0,teman ya jam,4,0,0,0.0,
 ok,1,ok,1,0,0,0.0,
 hayu ,1,,1,0,0,0.0,
 marawa barudak ,0,,2,0,0,0.0,
 anak oeh tanya nihh,1,anak oeh,4,0,0,0.0,
 oweh mah ngga ,1,,3,0,0,0.0,
 oeh absen dl balik smd dl,1,oeh absen,6,0,0,0.0,
 paulus piye bro ,0,bro,3,0,0,0.0,
 mw budak tatangga ,1,,3,1,0,33.33333333333333,ta
 bawa bro ,1,bro,2,0,0,0.0,
 guys sori sy ga jadi dateng macet pisannn ,0,sori sy ga,8,1,0,12.5,nn
 ah baelah ko biasa ge saya dtg stgh ini baru di rmh hohoho,1,ko ini baru di,13,1,0,7.6923076923076925,"oh, ho"
 saya ga jadi anak gw keur rewel ,1,ga anak gw,7,0,0,0.0,
 sok hayu datang da dipasteurna lancar,0,,6,0,0,0.0,
 sumber sarina parah,0,,3,0,0,0.0,
 hahahaua,1,,1,1,1,100.0,"ha, ah"
 wah macetna kasisinya da dipaskal lancar,0,,6,1,0,16.666666666666664,si
 added ,0,,1,0,0,0.0,
 hanya hari ini kuota data gb telkomsel seharga rp http kom ps afyvsy,0,ini,13,1,0,7.6923076923076925,el
 wah mah bkn tim basket hit duti ,0,basket,7,0,0,0.0,
 wkwkwkk tergantung bayarannya dan,1,tergantung dan,4,2,1,50.0,"wk, kw, ya"
 teman bararasket ntr malem ,0,teman ntr,4,1,0,25.0,"ra, ar"
 ok siap,1,ok siap,2,0,0,0.0,
 oeh skip lg kena cacar,1,oeh,5,1,0,20.0,ca
 gws ko teddy,0,ko,3,0,0,0.0,
 thx koko,1,thx koko,2,1,1,50.0,ko
 siap,1,siap,1,0,0,0.0,
 welehhhh gws bro anak lu udh kena ,0,bro anak udh,7,1,0,14.285714285714285,hh
 tepa dari anak,1,dari anak,3,0,0,0.0,
 gw nya yg blom peenah kena,0,gw nya yg,6,0,0,0.0,
 thx koko,1,thx koko,2,1,1,50.0,ko
 ok siap gws ted ,0,ok siap,4,0,0,0.0,
 thx koko,1,thx koko,2,1,1,50.0,ko
 siap,1,siap,1,0,0,0.0,
 gws teddy ,0,,2,0,0,0.0,
 thx koko,1,thx koko,2,1,1,50.0,ko
 wah gws ted masa superman kena cacar wkwkw,0,,8,2,0,25.0,"wk, kw, ca"
 ahhaha,1,,1,1,1,100.0,"ha, ah"
 iyah nih ko lg lemes,0,ko,5,0,0,0.0,
 thx koko,1,thx koko,2,1,1,50.0,ko
 wah nu mana ted nu lemes wkwkkw,0,,7,1,0,14.285714285714285,"wk, kw"
 kaabeh,1,,1,0,0,0.0,
 ripuh,1,,1,0,0,0.0,
 gws bro sama aj broo kalo dah kena jadina herpes,0,bro kalo,10,0,0,0.0,
 thx bro,1,thx bro,2,0,0,0.0,
 gws teddy ,0,,2,0,0,0.0,
 thx koko ,1,thx koko,2,1,1,50.0,ko
 gws teddy ,0,,2,0,0,0.0,
 thx ko ,1,thx ko,2,0,0,0.0,
 bukti terbesar kasih kristus dalam hal inilah kasih allah dinyatakan di tengah tengah kita yaitu bahwa allah telah mengutus anak nya yang tunggal ke dalam dunia yohanes tidak ada kasih yang lebih besar selain kasih allah dan bukti kasih terbesar adalah salib kristus selamat memperingati hari jum at agung jesus christ bless you ,0,di kita anak nya yang ke tidak ada yang lebih dan selamat bless,53,0,0,0.0,
 happy good friday gaes,0,happy,4,0,0,0.0,
 selamat paskah kiranya kebangkitan allah anak mengalahkan maut dosa ini menjadi pengharapan bagi seluruh umat yang percaya kepadanya yaitu sekarang allah anak ditinggikan oleh allah bapa dan allah roh kudus karena allah anak taat tunduk kepada kehendak allah bapa biarlah semua ini hanya untuk kemuliaan allah tritunggal saja wahyu tb maka aku melihat dan mendengar suara banyak malaikat sekeliling takhta makhluk makhluk dan tua tua itu jumlah mereka berlaksa laksa dan beribu ribu laksa katanya dengan suara nyaring anak domba yang disembelih itu layak untuk menerima kuasa dan kekayaan dan hikmat dan kekuatan dan hormat dan kemuliaan dan puji pujian dan aku mendengar semua makhluk yang di sorga dan yang di bumi dan yang di bawah bumi dan yang di laut dan semua yang ada di dalamnya berkata bagi dia yang duduk di atas takhta dan bagi anak domba adalah puji pujian dan hormat dan kemuliaan dan kuasa sampai selama lamanya dan keempat makhluk itu berkata amin dan tua tua itu jatuh tersungkur dan menyembah http www bibleforandroid com v e eca ,0,selamat anak ini yang sekarang anak oleh dan anak semua ini untuk dan banyak dan itu jumlah dan anak yang itu untuk dan dan dan dan dan dan dan semua yang di dan yang di dan yang di dan yang di dan semua yang ada di yang di dan anak dan dan dan dan itu dan itu dan,172,8,0,4.651162790697675,"en, ww, du, li, an, ta"
 met paskah semua ,0,semua,3,0,0,0.0,
 met paskah god bless ,0,god bless,4,0,0,0.0,
 met paskah,0,,2,0,0,0.0,
 met paskah prens ,0,,3,0,0,0.0,
 sama sama met paskah tuk semua yesus berkati ,1,semua,8,0,0,0.0,
 selamat paskah semua jbu,0,selamat semua,4,0,0,0.0,
 happy easter ,0,happy,2,0,0,0.0,
 teman bararasket ntr malem ,0,teman ntr,4,1,0,25.0,"ra, ar"
 harayu tapi saya sendiri anak sakit euy,1,anak sakit,7,0,0,0.0,
 gering naon bro cacar ,0,bro,4,1,0,25.0,ca
 lain lah eta mah si teddy biasa batuk pilek panas,1,,10,0,0,0.0,
 siap,1,siap,1,0,0,0.0,
 gws austin ,0,,2,0,0,0.0,
 hadir,1,hadir,1,0,0,0.0,
 hadiiirrrr ,1,,1,1,1,100.0,"rr, ii"
 hadir paskah atau basket iyeu teh ,1,hadir basket,6,0,0,0.0,
 kalo sy mah mau hadir di sini ,1,kalo sy mau hadir di,7,0,0,0.0,
 kalo saya mah sudah paskahan jd harid di lapang hehehehe ,0,kalo di,10,1,0,10.0,"he, eh"
 temen ada yg mo ikut nanti bolehkah ,0,temen ada yg nanti,7,0,0,0.0,
 boleh lah apa sih yg nga buat kokoh akin ,1,boleh apa sih yg,9,1,0,11.11111111111111,ko
 btw kin kamari urang panggih si teddy baheula keb di cicadas nu istana oge bareng kamu ,0,di,16,0,0,0.0,
 diajakan ku urang titah basket teuing daekeun nteu tah,1,basket,9,0,0,0.0,
 si eta mah breakdance,1,,4,0,0,0.0,
 jeung ping pong,1,,3,0,0,0.0,
 wkwkkwkw,1,,1,1,1,100.0,"wk, kw"
 breakdance mah ngke basket na patah da break,1,basket,8,0,0,0.0,
 boleh laaaa ,1,boleh,2,1,1,50.0,aa
 ntr basketnya jd streetball style geura ,1,ntr,6,0,0,0.0,
 jadinya streetbreak,1,,2,1,1,50.0,re
 braderrr isukan baskettttt marawa budak teu ieu anak urang geus ngebet hayang ulin ,0,anak,13,2,0,15.384615384615385,"rr, tt"
 mawa,1,,1,0,0,0.0,
 wkwk,1,,1,1,1,100.0,wk
 nu laleutik ,1,,2,0,0,0.0,
 klo ga ujan mau bawa anak ,0,ga mau anak,6,0,0,0.0,
 urg mw budak batur meunang teu,0,,6,0,0,0.0,
 meunang pisan kin asal ulah pamajikan batur wkwkwk,1,,8,1,0,12.5,"wk, kw"
 wkwkwkwkw cengli fred,1,,3,1,0,33.33333333333333,"wk, kw"
 hayu atuh fred basket jangan dieum sajah hihi,0,basket,8,2,0,25.0,"an, hi"
 ditunggu isukan mun teu dtg ku urg ditungguan keneh wkwkwk,0,,10,1,0,10.0,"wk, kw"
 urg mawa,1,,2,0,0,0.0,
 guys sori sy gajadi dtg bola dititip ke arnold sttb kl udh pake mau dititip ke dia lagi tlg bicara aja lgsg thanks ,1,sori sy bola ke udh mau ke lagi aja thanks,23,2,0,8.695652173913043,"ti, it"
 lahhh kunaon ko ,1,ko,3,1,0,33.33333333333333,hh
 rek ngalayat ka apoh na khien,1,,6,0,0,0.0,
 hah apohna bunkien ,1,,3,0,0,0.0,
 iyah,1,,1,0,0,0.0,
 oooo ok koh kamsiah infona,1,ok,5,1,0,20.0,oo
 ngke weh anda mah balik basket kaditu na ,0,anda basket,8,0,0,0.0,
 peuting teuing ko euy ,1,ko,4,0,0,0.0,
 nya geus ngke disampekeun salam na ,1,nya,6,0,0,0.0,
 siyap ko,1,ko,2,0,0,0.0,
 pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya paulus harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir ,0,pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir,76,1,0,1.3157894736842104,ng
 pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya paulus ndhee harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir ,0,pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir,77,1,0,1.2987012987012987,ng
 saya mau beli ggx harganya rb mau saya sekalian mau beli buat turnamen gereja,0,mau beli rb mau mau beli,14,0,0,0.0,
 ko paulus jgn anggep aja sy nymbang jadi bola nya harga ,0,ko aja sy bola nya harga,11,0,0,0.0,
 nyumbang,1,,1,0,0,0.0,
 sy nyumbang ,0,sy,2,0,0,0.0,
 pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya paulus ndhee harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir ,0,pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir,77,1,0,1.2987012987012987,ng
 asikkkk dapet subsidi dari bro teddy makaciiii bro,1,dari bro bro,8,2,0,25.0,"kk, ii"
 siap sama sama ,1,siap,3,0,0,0.0,
 pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya paulus ndhee rainer harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir ,0,pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir,78,1,0,1.282051282051282,ng
 pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya paulus ndhee rainer daddy harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir ,0,pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir,79,1,0,1.2658227848101267,ng
 pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya paulus ndhee rainer daddy wansen harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir ,0,pagi siang malam teman semua ada ide dari bbrp teman di grup basket ini bagaimana kalo kita udunan beli bola basket untuk jumlah udunannya berapa nanti tergantung dari total org yg ikutan makin banyak makin murah kalo ada temen di luar grup yg mau ikutan boleh ditambahkan namanya oleh teman yg ada di grup ini pendaftaran dibuka ya harga bola nya rb kita impor langsung dari sumedang dibantu ntr ama bro teddydijamin asli gratis ongkir,80,1,0,1.25,ng
